"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Gilligan M.; McGuigan C.; McKeon A.","Gilligan, Michael (57936691900); McGuigan, Christopher (56739343000); McKeon, Andrew (56278877000)","57936691900; 56739343000; 56278877000","Paraneoplastic Neurologic Disorders","2023","Current Neurology and Neuroscience Reports","23","3","","67","82","15","17","10.1007/s11910-023-01250-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147940154&doi=10.1007%2fs11910-023-01250-w&partnerID=40&md5=29f1a432751ea9942dc0474ff704d5dd","Department of Laboratory Medicine and Pathology, College of Medicine, Mayo Clinic, Rochester, MN, United States; Department of Neurology, St Vincent’s University Hospital, Dublin, Ireland; Department of Neurology, College of Medicine, Mayo Clinic, 200 1st ST SW, Rochester, 55905, MN, United States","Gilligan M., Department of Laboratory Medicine and Pathology, College of Medicine, Mayo Clinic, Rochester, MN, United States, Department of Neurology, St Vincent’s University Hospital, Dublin, Ireland; McGuigan C., Department of Neurology, St Vincent’s University Hospital, Dublin, Ireland; McKeon A., Department of Laboratory Medicine and Pathology, College of Medicine, Mayo Clinic, Rochester, MN, United States, Department of Neurology, College of Medicine, Mayo Clinic, 200 1st ST SW, Rochester, 55905, MN, United States","A. McKeon; Department of Laboratory Medicine and Pathology, College of Medicine, Mayo Clinic, Rochester, United States; email: Mckeon.andrew@mayo.edu","","Springer","15284042","","CNNRB","36781586","English","Curr. Neurol. Neurosci. Rep.","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147940154"
"Verschuuren J.J.; Palace J.; Murai H.; Tannemaat M.R.; Kaminski H.J.; Bril V.","Verschuuren, Jan JGM (7004442654); Palace, Jacqueline (56351917800); Murai, Hiroyuki (7103398541); Tannemaat, Martijn R (6505910841); Kaminski, Henry J (7006723901); Bril, Vera (57203867257)","7004442654; 56351917800; 7103398541; 6505910841; 7006723901; 57203867257","Advances and ongoing research in the treatment of autoimmune neuromuscular junction disorders","2022","The Lancet Neurology","21","2","","189","202","13","57","10.1016/S1474-4422(21)00463-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122934290&doi=10.1016%2fS1474-4422%2821%2900463-4&partnerID=40&md5=6b8d99ac497061b5c51e4e1b81f72183","Department of Neurology, Leiden University Medical Centre, Leiden, Netherlands; Nuffield Department of Clinical Neurosciences, Oxford University, Oxford, UK, United Kingdom; Department of Neurology, International University of Health and Welfare, Narita, Japan; Department of Neurology and Rehabilitation Medicine, The George Washington University School of Medicine & Health Sciences, Washington, DC, United States; Department of Medicine, University of Toronto, Toronto, ON, Canada","Verschuuren J.J., Department of Neurology, Leiden University Medical Centre, Leiden, Netherlands; Palace J., Nuffield Department of Clinical Neurosciences, Oxford University, Oxford, UK, United Kingdom; Murai H., Department of Neurology, International University of Health and Welfare, Narita, Japan; Tannemaat M.R., Department of Neurology, Leiden University Medical Centre, Leiden, Netherlands; Kaminski H.J., Department of Neurology and Rehabilitation Medicine, The George Washington University School of Medicine & Health Sciences, Washington, DC, United States; Bril V., Department of Medicine, University of Toronto, Toronto, ON, Canada","J.J. Verschuuren; Department of Neurology, Leiden University Medical Centre, Leiden, 2333, Netherlands; email: j.j.g.m.verschuuren@lumc.nl","","Elsevier Ltd","14744422","","LNAEA","35065041","English","Lancet Neurol.","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85122934290"
"Giannoccaro M.P.; Avoni P.; Liguori R.","Giannoccaro, Maria Pia (26631902900); Avoni, Patrizia (7003420974); Liguori, Rocco (25222055800)","26631902900; 7003420974; 25222055800","Presynaptic paraneoplastic disorders of the neuromuscular junction: An update","2021","Brain Sciences","11","8","1035","","","","7","10.3390/brainsci11081035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113229186&doi=10.3390%2fbrainsci11081035&partnerID=40&md5=a24322d6bd226f00a98cbd5f29878d6d","Dipartimento di Scienze Biomediche e Neuromotorie, Università di Bologna, Bologna, 40138, Italy; IRCCS Istituto delle Scienze Neurologiche, UOC Clinica Neurologia, Ospedale Bellaria, Via Altura 3, Bologna, 40139, Italy","Giannoccaro M.P., Dipartimento di Scienze Biomediche e Neuromotorie, Università di Bologna, Bologna, 40138, Italy, IRCCS Istituto delle Scienze Neurologiche, UOC Clinica Neurologia, Ospedale Bellaria, Via Altura 3, Bologna, 40139, Italy; Avoni P., Dipartimento di Scienze Biomediche e Neuromotorie, Università di Bologna, Bologna, 40138, Italy, IRCCS Istituto delle Scienze Neurologiche, UOC Clinica Neurologia, Ospedale Bellaria, Via Altura 3, Bologna, 40139, Italy; Liguori R., Dipartimento di Scienze Biomediche e Neuromotorie, Università di Bologna, Bologna, 40138, Italy, IRCCS Istituto delle Scienze Neurologiche, UOC Clinica Neurologia, Ospedale Bellaria, Via Altura 3, Bologna, 40139, Italy","R. Liguori; Dipartimento di Scienze Biomediche e Neuromotorie, Università di Bologna, Bologna, 40138, Italy; email: rocco.liguori@unibo.it","","MDPI","20763425","","","","English","Brain Sci.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85113229186"
"Wong V.C.-N.","Wong, Virginia Chun-Nei (7202525632)","7202525632","My 30-year roadmap for pediatric myasthenia gravis in Hong Kong: Searching for international collaboration","2015","Clinical and Experimental Neuroimmunology","6","1","","13","20","7","1","10.1111/cen3.12157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922240880&doi=10.1111%2fcen3.12157&partnerID=40&md5=0920bacb7db306c853978dcd7e810588","Division of Paediatric Neurology/Developmental Behavioural Paediatrics/Neurohabilitation, Department of Paediatrics and Adolescent Medicine, University of Hong Kong, Hong Kong SAR, Hong Kong","Wong V.C.-N., Division of Paediatric Neurology/Developmental Behavioural Paediatrics/Neurohabilitation, Department of Paediatrics and Adolescent Medicine, University of Hong Kong, Hong Kong SAR, Hong Kong","","","Wiley-Blackwell","17591961","","","","English","Clin. Exp. Neuroimmunol.","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84922240880"
"Puri V.; Kanojia N.; Sharma A.; Huanbutta K.; Dheer D.; Sangnim T.","Puri, Vivek (57205541755); Kanojia, Neha (57216373425); Sharma, Ameya (57214355885); Huanbutta, Kampanart (23135027500); Dheer, Divya (57188965248); Sangnim, Tanikan (55212178200)","57205541755; 57216373425; 57214355885; 23135027500; 57188965248; 55212178200","Natural product-based pharmacological studies for neurological disorders","2022","Frontiers in Pharmacology","13","","1011740","","","","17","10.3389/fphar.2022.1011740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142215721&doi=10.3389%2ffphar.2022.1011740&partnerID=40&md5=fa1d39cde0a163e25cb5ba9b252fbb19","Chitkara School of Pharmacy, Chitkara University, Himachal Pradesh, Baddi, India; School of Pharmacy, Eastern Asia University, Pathum Thani, Rangsit, Thailand; Faculty of Pharmaceutical Sciences, Burapha University, Chon Buri, Muang, Thailand","Puri V., Chitkara School of Pharmacy, Chitkara University, Himachal Pradesh, Baddi, India; Kanojia N., Chitkara School of Pharmacy, Chitkara University, Himachal Pradesh, Baddi, India; Sharma A., Chitkara School of Pharmacy, Chitkara University, Himachal Pradesh, Baddi, India; Huanbutta K., School of Pharmacy, Eastern Asia University, Pathum Thani, Rangsit, Thailand; Dheer D., Chitkara School of Pharmacy, Chitkara University, Himachal Pradesh, Baddi, India; Sangnim T., Faculty of Pharmaceutical Sciences, Burapha University, Chon Buri, Muang, Thailand","D. Dheer; Chitkara School of Pharmacy, Chitkara University, Baddi, Himachal Pradesh, India; email: divya.dheer@chitkarauniversity.edu.in; T. Sangnim; Faculty of Pharmaceutical Sciences, Burapha University, Muang, Chon Buri, Thailand; email: tanikan@go.buu.ac.th","","Frontiers Media S.A.","16639812","","","","English","Front. Pharmacol.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142215721"
"Poduri R.; Joshi G.; Jagadeesh G.","Poduri, Ramarao (7006686330); Joshi, Gaurav (55600799300); Jagadeesh, Gowraganahalli (7003653767)","7006686330; 55600799300; 7003653767","Drugs targeting various stages of the SARS-CoV-2 life cycle: Exploring promising drugs for the treatment of Covid-19","2020","Cellular Signalling","74","","109721","","","","117","10.1016/j.cellsig.2020.109721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089276187&doi=10.1016%2fj.cellsig.2020.109721&partnerID=40&md5=f93b902850c4125a4d1a296f63085326","Department of Pharmaceutical Sciences and Natural Products, Central University of Punjab, Bathinda, 151001, India; Office of Cardiology, Hematology, Endocrinology and Nephrology, CDER, FDA, Silver Spring, MD, United States","Poduri R., Department of Pharmaceutical Sciences and Natural Products, Central University of Punjab, Bathinda, 151001, India; Joshi G., Department of Pharmaceutical Sciences and Natural Products, Central University of Punjab, Bathinda, 151001, India; Jagadeesh G., Office of Cardiology, Hematology, Endocrinology and Nephrology, CDER, FDA, Silver Spring, MD, United States","G. Jagadeesh; Division of Pharmacology & Toxicology, Office of Cardiology, Hematology, Endocrinology, and Nephrology, Center for Drug Evaluation and Research, U.S. Food and Drug Administration, Silver Spring, 20993, United States; email: Gowra.Jagadeesh@fda.hhs.gov","","Elsevier Inc.","08986568","","CESIE","32711111","English","Cell. Signal.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85089276187"
"Solimani F.; Maglie R.; Pollmann R.; Schmidt T.; Schmidt A.; Ishii N.; Tackenberg B.; Kirschbaum A.; Didona D.; Pickert J.; Eming R.; Hashimoto T.; Hertl M.","Solimani, Farzan (57197772578); Maglie, Roberto (55927205900); Pollmann, Robert (57164798500); Schmidt, Thomas (55253153300); Schmidt, Ansgar (7403416300); Ishii, Norito (55015751900); Tackenberg, Björn (16204348000); Kirschbaum, Andreas (14822350400); Didona, Dario (55932427000); Pickert, Julia (56596686400); Eming, Rüdiger (8549256200); Hashimoto, Takashi (56937495600); Hertl, Michael (35213326600)","57197772578; 55927205900; 57164798500; 55253153300; 7403416300; 55015751900; 16204348000; 14822350400; 55932427000; 56596686400; 8549256200; 56937495600; 35213326600","Thymoma-associated paraneoplastic autoimmune multiorgan syndrome—from pemphigus to lichenoid dermatitis","2019","Frontiers in Immunology","10","JUN","1413","","","","33","10.3389/fimmu.2019.01413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069164712&doi=10.3389%2ffimmu.2019.01413&partnerID=40&md5=b8305e45cb2f9c247255c473005ab54a","Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Institute of Pathology, Philipps-University, Marburg, Germany; Department of Dermatology, Kurume University School of Medicine, Kurume University Institute of Cutaneous Cell Biology, Kurume, Japan; Department of Neuroimmunology, Philipps-University, Marburg, Germany; Department of Surgery, Philipps-University, Marburg, Germany; Osaka City University Graduate School of Medicine, Osaka, Japan","Solimani F., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Maglie R., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Pollmann R., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Schmidt T., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Schmidt A., Institute of Pathology, Philipps-University, Marburg, Germany; Ishii N., Department of Dermatology, Kurume University School of Medicine, Kurume University Institute of Cutaneous Cell Biology, Kurume, Japan; Tackenberg B., Department of Neuroimmunology, Philipps-University, Marburg, Germany; Kirschbaum A., Department of Surgery, Philipps-University, Marburg, Germany; Didona D., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Pickert J., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Eming R., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; Hashimoto T., Department of Surgery, Philipps-University, Marburg, Germany, Osaka City University Graduate School of Medicine, Osaka, Japan; Hertl M., Department of Dermatology and Allergology, Philipps-University, Marburg, Germany","F. Solimani; Department of Dermatology and Allergology, Philipps-University, Marburg, Germany; email: farzan.solimani@charite.de","","Frontiers Media S.A.","16643224","","","31293579","English","Front. Immunol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85069164712"
"Huang K.; Luo Y.-B.; Yang H.","Huang, Kun (57118624800); Luo, Yue-Bei (55917150300); Yang, Huan (57192424430)","57118624800; 55917150300; 57192424430","Autoimmune channelopathies at neuromuscular junction","2019","Frontiers in Neurology","10","MAY","516","","","","21","10.3389/fneur.2019.00516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068362531&doi=10.3389%2ffneur.2019.00516&partnerID=40&md5=5c0610f5c3617e3eea23ee69eb672e31","Neurology Department, Xiangya Hospital, Central South University, Changsha, China; Division of Neurogenetics, Center for Neurological Diseases and Cancer, Nagoya University Graduate School of Medicine, Nagoya, Japan","Huang K., Neurology Department, Xiangya Hospital, Central South University, Changsha, China, Division of Neurogenetics, Center for Neurological Diseases and Cancer, Nagoya University Graduate School of Medicine, Nagoya, Japan; Luo Y.-B., Neurology Department, Xiangya Hospital, Central South University, Changsha, China; Yang H., Neurology Department, Xiangya Hospital, Central South University, Changsha, China","H. Yang; Neurology Department, Xiangya Hospital, Central South University, Changsha, China; email: yangh69@126.com","","Frontiers Media S.A.","16642295","","","","English","Front. Neurol.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85068362531"
"Antoine J.-C.; Camdessanché J.-P.","Antoine, Jean-Christophe (35481138800); Camdessanché, Jean-Philippe (54790553600)","35481138800; 54790553600","Treatment options in paraneoplastic disorders of the peripheral nervous system","2013","Current Treatment Options in Neurology","15","2","","210","223","13","33","10.1007/s11940-012-0210-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877603800&doi=10.1007%2fs11940-012-0210-9&partnerID=40&md5=bd0c1311bcfa6307f097fb42458851c6","Department of Neurology, University Hospital of Saint-Etienne, Saint-Etienne, France; French Reference Center for Paraneoplastic Neurological Syndrome, Lyon, France; 'Rhône-Alpes Reference Center for Rare Neuromuscular Diseases, Saint-Etienne, France; Service de Neurologie, CHU, 42055 Saint-Etienne Cedex 02, France","Antoine J.-C., Department of Neurology, University Hospital of Saint-Etienne, Saint-Etienne, France, French Reference Center for Paraneoplastic Neurological Syndrome, Lyon, France, 'Rhône-Alpes Reference Center for Rare Neuromuscular Diseases, Saint-Etienne, France, Service de Neurologie, CHU, 42055 Saint-Etienne Cedex 02, France; Camdessanché J.-P., Department of Neurology, University Hospital of Saint-Etienne, Saint-Etienne, France, French Reference Center for Paraneoplastic Neurological Syndrome, Lyon, France, 'Rhône-Alpes Reference Center for Rare Neuromuscular Diseases, Saint-Etienne, France","J.-C. Antoine; Service de Neurologie, CHU, 42055 Saint-Etienne Cedex 02, France; email: j.christophe.antoine@chu-st-etienne.fr","","","15343138","","CTONB","","English","Curr. Treat. Options Neurol.","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84877603800"
"Elseidy S.A.; Alkader A.A.A.A.; Naserallah H.H.; Awad A.K.","Elseidy, Sheref A. (57203360918); Alkader, Ahmed Abd Allah Abd (57224848522); Naserallah, Haitham Hassan (57224844783); Awad, Ahmed Khaled (57218558561)","57203360918; 57224848522; 57224844783; 57218558561","Case series: A case of familial thymomatous myasthenia gravis in a family of three male brothers","2020","Journal of Surgical Case Reports","2020","9","rjaa321","","","","5","10.1093/jscr/rjaa321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108386645&doi=10.1093%2fjscr%2frjaa321&partnerID=40&md5=774914d8e5d69afa09f3aabf23b7099d","Department of Cardiovascular Diseases, Ain Shams University, Cairo, Egypt; Department of Rheumatology, Ain Shams University, Cairo, Egypt","Elseidy S.A., Department of Cardiovascular Diseases, Ain Shams University, Cairo, Egypt; Alkader A.A.A.A., Department of Rheumatology, Ain Shams University, Cairo, Egypt; Naserallah H.H., Department of Cardiovascular Diseases, Ain Shams University, Cairo, Egypt; Awad A.K., Department of Cardiovascular Diseases, Ain Shams University, Cairo, Egypt","S.A. Elseidy; Houston, 8100 Cambridge St., 77054, United States; email: drsherif.elseidy@gmail.com","","Oxford University Press","20428812","","","","English","J. Surg. Case Rep.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85108386645"
